Old Item ID,Old Item Name,Old Room,Old Location,Old Storage ID,Old Location Code,Old Category,Old Quantity,Old Unit,Old Status,Old Remarks,Suggested New Location Code,Confidence,Reason Unmatched,Reviewer Decision,Final Location Code,Notes
TOL-024,Hand Saw,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,8.0,sets,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-025,Heat Gun,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,set,Good,Big tools cupboard,419A-FCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-027,Hole Saw,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,set,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-029,Hot Glue Gun Sticks and Hinges,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,box,Good,Big tools cupboard,419A-SIC-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-033,Marking Gauge,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,6.0,sets,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-024,Measuring Tape,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Materials / Consumables,1.0,,Good,Big tools cupboard,419A-WMS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-034,Metal Polish,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,17.0,,Good,Big tools cupboard,419A-SGS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-028,Pine Wood,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Materials / Consumables,4.0,,Good,Big tools cupboard,419A-WMS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-038,Pliers,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,5.0,,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-039,Plug,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,box,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-042,Rip Saw,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,3.0,sets,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-034,Riveter Materials,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Materials / Consumables,1.0,box,Good,Big tools cupboard,419A-WMS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-044,Rubber Mallet,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,3.0,sets,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-036,Sand Paper,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Materials / Consumables,1.0,,Good,Big tools cupboard,419A-WMS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-047,Saw Blade,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,2.0,box,Good,Big tools cupboard,419A-SCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-051,Sliding Bevel,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,2.0,,Good,Big tools cupboard,419A-WST-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-054,Spanner Set,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,set,Good,Big tools cupboard,419A-SGS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-059,Tap and Die Set,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,set,Good,Big tools cupboard,419A-FCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-060,Tenon Saw with Frame,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,2.0,sets,Good,Big tools cupboard,419A-FCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-063,Try Square,419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,13.0,sets,Good,Big tools cupboard,419A-FCU-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-065,"Wood Plane, Large",419A,Tool Cupboard 01,419A-S02,419A-CUP-01,Tools,1.0,,Good,Big tools cupboard,419A-PCB-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-031,"Locking C Clamp(6Sets),Student Project Materials,Nail Grab,Book And Invoice Record,Gun Tacker(2)",419A,Front Cupboard 09,419A-S14,419A-FCU-09,Tools,6.0,,Good,front cupboard 9,419A-FDW-03,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-005,Cut Paper Machine,419A,Front Cupboard 10,419A-S15,419A-FCU-10,Machinery,1.0,,Good,front cupboard 10,419A-FDW-04,Medium,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-012,Hot Wire Strip Heater(180X250X750Mm),419A,Front Cupboard 10,419A-S15,419A-FCU-10,Machinery,1.0,,Good,front cupboard 10,419A-FDW-04,Medium,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-022,Old Cutting Machine,419A,Front Cupboard 10,419A-S15,419A-FCU-10,Machinery,1.0,,Good,front cupboard 10,419A-FDW-04,Medium,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-041,"Student Project Materials,Whiteboard Pen",419A,Front Cupboard 10,419A-S15,419A-FCU-10,Materials / Consumables,1.0,,Good,front cupboard 10,419A-FDW-04,Medium,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-049,"Screwdriver, Small",419A,3D Printer Sideboard C,419A-S18,419A-SDB-3DP-C,Tools,60.0,,Good,8 taken by zeki,419A-SDM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-035,STIKA Materials,419A,3D Printer Sideboard D,419A-S19,419A-SDB-3DP-D,Materials / Consumables,2.0,box,Good,3D printer sideboard D,419A-WMS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-008,Drawing Board,419A,3D Printer Sideboard E,419A-S20,419A-SDB-3DP-E,Materials / Consumables,40.0,,Good,3D printer sideboard E,419A-WSS-03,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-012,Hot Wire Strip Heater(180X250X750Mm),419A,Scroll Saw Sideboard Main,419A-S25,419A-SDB-SS-00,Machinery,1.0,,Good,scroll-saw sideboard,419A-SDM-01,High,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-021,Milling Machine Stand,419A,Scroll Saw Sideboard Main,419A-S25,419A-SDB-SS-00,Machinery,1.0,,Good,scroll-saw sideboard,419A-SDM-01,High,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-049,Vex Robots Materials,419A,Scroll Saw Sideboard Main,419A-S25,419A-SDB-SS-00,Materials / Consumables,2.0,box,Good,scroll-saw sideboard,419A-SDM-01,High,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-037,Plastic Box / Oil Sweep,419A,Scroll Saw Sideboard 01,419A-S26,419A-SDB-SS-01,Tools,40.0,,Good,scroll-saw sideboard 1,419A-SDB-01,Medium,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-050,Scroll Saw (Old),419A,Scroll Saw Sideboard 02,419A-S27,419A-SDB-SS-02,Tools,1.0,,Good,scroll-saw sideboard 2,419A-SDB-02,High,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-030,"Iron Wire,Old Scroll-Saw",419A,Scroll Saw Sideboard 03,419A-S28,419A-SDB-SS-03,Tools,2.0,,Good,scroll-saw sideboard 3,419A-SDB-03,High,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-050,Scroll Saw (Old),419A,Scroll Saw Sideboard 04,419A-S29,419A-SDB-SS-04,Tools,1.0,,Good,scroll-saw sideboard 4,419A-SDB-01,High,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-039,"Spray Paint, Vacuum Former Materials(0.5Mm X62 Sheets)",419A,Scroll Saw Sideboard 07,419A-S32,419A-SDB-SS-07,Materials / Consumables,60.0,sheets,Good,scroll-saw sideboard 7,419A-SDM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-001,Acrylic Sheets / Dominoes / Lego,419A,Back Sideboard (Window),419A-S34,419A-SDB-BK-01,Materials / Consumables,200.0,sheets,Good,*** big wooden board 160X 100X 10 D,419A-SDM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
TOL-016,F Clamp / Quick Clamp,419A,Side Area Beside Tool Cupboard,419A-S35,419A-ZON-01,Tools,31.0,,Good,Beside Big tools cupboard,419A-SIC-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAT-045,"Tensol, Cloth,Scrap Cardboard(Small Size)",419A,Woodworking Table 05,419A-S40,419A-TBL-05,Materials / Consumables,1.0,,Good,Wood working table 5,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
ITM-001,3D Printer,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,IT / AV,1.0,,Good,419A,419A-TLC-03,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
ITM-001,3D Printer,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,IT / AV,4.0,,Good,419A,419A-TLC-03,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
ITM-002,3D Printer CEL Robot RBX01,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,IT / AV,1.0,,Needs Maintenance,Insurance Damaged Claim List,419A-WMS-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-002,Band Saw with Vacuum Cleaner,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-006,"Drill Press, Large",419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-SDM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-007,"Drill Press, Small",419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-008,Filter System Delta VFD007S21A,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,2.0,,Needs Maintenance,Insurance Damaged Claim List,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-009,Flamefast Low Temperature Casting System,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,2.0,,Good,419A,419A-TDA-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-011,Hot Wire Strip Heater,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-013,Jteba Vacuum Cleaner,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-014,Laser Cutter GGC Laser Pro Mercury,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Needs Maintenance,Insurance Damaged Claim List,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-015,Laser Pro Filter Unit,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,2.0,,Good,419A,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-016,Laser Pro Machine,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,2.0,,Good,419A,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-017,Lathe,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-TDA-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-020,Milling Machine,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-CAB-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-024,Sanding Machine,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-CAB-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-025,Scroll Saw,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,6.0,,Good,419A,419A-SDM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-026,Scroll Saw (Old),419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,7.0,,Good,can use,419A-WSM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-027,Vacuum Cleaner For Sanding Machine,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-CAB-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
MAC-028,Vacuum Former,419A,Workshop Machine Zone,419A-S42,419A-ZON-02,Machinery,1.0,,Good,419A,419A-SDM-01,Low,Fuzzy match from old location/item/category to Storage Master; requires physical verification.,Pending Review,,Physically check storage before appending to Inventory.
